380	665.52	83.43
381	669.39	83.91
382	673.27	84.40
383	677.16	84.88
384	681.05	85.37
385	684.96	85.86
386	688.87	86.35
387	692.79	86.85
388	696.73	87.34
389	700.67	87.83
390	704.62	88.33
391	708.57	88.82
392	712.54	89.32
393	716.52	77.00
394	720.50	77.43
395	724.49	77.86
396	728.50	78.29
397	732.51	78.72
398	736.52	79.15
399	740.55	79.58
400	744.59	80.02
401	748.63	80.45
402	752.68	80.89
403	756.74	81.32
404	760.81	81.76
405	764.89	82.20
406	768.97	82.64
407	773.07	83.08
408	777.17	83.52
409	781.28	83.96
410	785.39	84.40
411	789.52	84.85
412	793.65	85.29
413	797.79	75.03
414	801.94	75.42
415	806.10	75.81
416	810.26	76.21
417	814.43	76.60
418	818.61	76.99
419	822.80	77.38
420	826.99	77.78
421	831.20	78.17
422	835.41	78.57
423	839.62	78.97
424	843.85	79.36
425	848.08	79.76
426	852.32	80.16
427	856.57	80.56
428	860.82	80.96
429	865.08	81.36
430	869.35	81.76
431	873.62	82.16
432	877.91	82.57
433	882.20	82.97
434	886.49	83.38
435	890.80	83.78
436	895.11	84.19
437	899.42	75.21
438	903.75	75.57
439	908.08	75.93
440	912.42	76.29
441	916.76	76.66
442	921.11	77.02
443	925.47	77.38
444	929.83	77.75
445	934.21	78.11
446	938.58	78.48
447	942.97	78.85
448	947.36	79.21
449	951.76	79.58
450	956.16	79.95
451	960.57	80.32
452	964.99	80.69
453	969.41	81.06
454	973.84	81.43
455	978.27	81.80
456	982.72	82.17
457	987.16	82.54
458	991.62	74.63
459	996.08	74.97
460	1000.54	75.31
461	1005.02	75.64
462	1009.49	75.98
463	1013.98	76.32
464	1018.47	76.66
465	1022.96	76.99
466	1027.47	77.33
467	1031.97	77.67
468	1036.49	78.01
469	1041.01	78.35
470	1045.53	78.69
471	1050.06	79.03
472	1054.60	79.37
473	1059.14	79.72
474	1063.69	80.06
475	1068.24	80.40
476	1072.80	80.74
477	1077.36	73.73
478	1081.93	74.04
479	1086.51	74.35
480	1091.09	74.67
