File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\DeviceTypeEnum.cs,22,20,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\DispenserProtocolEnum.cs,51,49,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\EnumToList.cs,89,78,45,9,11,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\FuelPointStatusEnum.cs,28,26,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\InvoiceRelationTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\NozzleStateEnum.cs,17,15,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\OPTConnectionTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\OPTTypeEnum.cs,14,12,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\PaymentTypeEnum.cs,16,14,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\ScheduleTypeEnum.cs,26,23,7,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\SendLogActionEnum.cs,17,15,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Enumerators\TankStatusEnum.cs,27,25,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Properties\Resources.Designer.cs,469,258,152,48,54,1,157,756,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Properties\Settings.Designer.cs,36,21,9,2,7,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Sales\SaleData.cs,103,89,62,5,11,0,3,10,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Sales\SaleHandler.cs,488,201,131,20,62,12,225,788,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Sales\TankFillingData.cs,28,23,15,0,5,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Common\Sales\TankSaleData.cs,20,18,14,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\AlertClass.cs,17,15,10,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\BalanceClass.cs,178,159,120,7,19,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\ChangePriceClass.cs,16,14,9,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\CommunicationMethods.cs,434,385,254,60,48,2,1,4,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\DeliveryNoteClass.cs,143,124,102,4,19,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\FuelTypePumpClass.cs,99,86,70,3,13,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\FuelVolumeClass.cs,81,73,51,0,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\IncomeRecieptClass.cs,86,79,62,5,7,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\LiterCheckClass.cs,33,30,23,1,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\SendMethods.cs,269,247,177,32,22,1,0,2,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums\AlertIdEnum.cs,22,20,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums\DeliveryTypeEnum.cs,16,14,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums\FuelTypeEnum.cs,24,22,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums\LocalizedEnumExtensions.cs,48,44,26,7,4,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Enums\WorkFieldEnum.cs,20,18,6,0,2,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Properties\Resources.Designer.cs,262,143,83,25,31,1,88,463,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Communication\Service References\FuelFlowService\Reference.cs,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Crc32.cs,107,86,51,15,21,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Crypto.cs,173,139,86,12,9,0,25,134,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\DatabaseModel.cs,18321,16522,8294,1583,1724,0,75,1373,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\AlertEvaluator.cs,395,257,171,43,43,0,95,253,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\DatabaseModel.cs,4267,3669,2280,640,444,70,154,729,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\EntityFactory.cs,166,133,76,14,11,1,22,63,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\ErrorInfo.cs,70,59,31,4,11,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\OptionHandler.cs,206,178,109,47,28,2,0,2,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Implementation\ValidationErrorEvent.cs,26,22,14,0,4,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Properties\Resources.Designer.cs,418,231,137,42,48,1,139,739,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\IDataValidator.cs,24,21,17,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\InvoiceLineValidator.cs,108,88,54,16,18,0,2,15,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\InvoiceValidator.cs,109,62,32,6,18,0,29,75,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\SalesTransactionValidator.cs,109,90,49,13,19,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\TankFillingValidator.cs,158,74,40,10,24,0,60,180,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\TankValidator.cs,69,53,29,8,15,0,1,3,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Data\Validators\ValidatorContainer.cs,105,90,67,13,14,0,1,4,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis\ElbhsController.cs,1127,631,392,102,134,1,362,1184,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis\FuelPoint.cs,203,157,100,9,21,0,25,70,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis\Nozzle.cs,46,38,29,1,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Elbis\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.EMR3\EmrController.cs,40,34,19,1,6,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.EMR3\Protocol.cs,556,469,279,65,86,9,1,29,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.EMR3\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Euromat\EuromatClient.cs,45,38,25,2,7,0,0,0,0,0
