Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Communication\Service References\FuelFlowService,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Data,18,19257,16946,8923,1848,1932,53,379,2562,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Data\Implementation,6,2935,2491,1601,431,334,52,110,472,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Data\Properties,2,245,128,68,19,30,1,87,537,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Data\Validators,7,682,478,288,66,111,0,93,277,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.EMR3,3,780,619,374,100,78,10,83,325,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.EMR3\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Elbis,4,1386,819,512,110,163,1,404,1374,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Elbis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Fafnir,4,476,367,228,36,79,0,30,174,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Fafnir\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.FuelPump,2,885,661,404,121,109,2,115,437,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.FuelPump\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Gilbarco,5,1158,1000,623,162,109,29,49,328,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Logging,2,255,196,119,20,17,0,42,216,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Millenium,9,2184,1637,1001,210,265,41,282,2243,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Millenium\Enums,4,125,86,24,0,24,2,15,194,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Millenium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.NuovoPignone,3,624,510,315,78,74,8,40,282,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.PTS,2,682,534,324,112,97,2,51,264,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Reports,58,18603,14803,11891,404,645,3,3155,2633,0,3
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Reports\BalanceReports,11,6361,5332,3530,364,507,1,522,495,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Reports\Invoices,4,1415,1079,957,0,10,0,326,198,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Reports\Properties,3,160,87,36,7,23,2,50,282,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.StartItaliana,4,435,354,214,38,61,0,20,129,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.StartItaliana\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Tank,2,676,556,349,107,87,0,33,178,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Tank\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.VirtualDevices,9,934,752,451,66,107,1,75,395,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.VirtualDevices\Properties,2,173,88,44,11,22,1,63,361,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows,123,32507,25307,18240,1246,2404,30,4796,11722,0,3
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\DBScripts,9,2240,2064,0,0,65,0,111,999,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\Properties,3,1146,615,370,100,116,2,415,1876,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\Service References,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\Service References\SmsService,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\Threads,9,5351,4034,2654,503,659,15,658,2904,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI,97,21081,16364,13833,417,1251,11,3466,5649,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI\Catalogs,10,2704,2190,1846,63,193,2,321,388,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI\Controls,25,3573,2778,2135,117,318,5,477,921,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI\Forms,20,3707,2932,2518,61,187,2,588,773,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI\SelectionForms,24,4341,3411,2879,83,238,0,692,867,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.Windows\UI\SettingForms,18,6756,5053,4455,93,315,2,1388,2700,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.WorkFlow,7,479,365,221,38,80,0,34,190,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\Version1.1.1 Fiinal\ASFuelControl.WorkFlow\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Evaluant.Calculator,21,7844,5981,3881,616,1352,86,511,3370,2,18
D:\dev\Exedron\ASFuelControl.Windows\Evaluant.Calculator\Domain,10,1390,1014,551,177,346,1,30,237,0,0
D:\dev\Exedron\ASFuelControl.Windows\Evaluant.Calculator\Properties,1,36,15,3,0,5,0,16,118,0,0
D:\dev\Exedron\ASFuelControl.Windows\Millenium,8,652,458,292,57,105,26,89,548,0,1
D:\dev\Exedron\ASFuelControl.Windows\Millenium\Properties,2,101,48,20,3,14,1,39,239,0,1
D:\dev\Exedron\ASFuelControl.Windows\Millenium\enums,4,92,79,24,0,13,1,0,3,0,0
D:\dev\Exedron\ASFuelControl.Windows\NewBox69,7,1531,1113,724,190,190,12,228,842,0,1
D:\dev\Exedron\ASFuelControl.Windows\NewBox69\ASFuelControl.Box69,7,1531,1113,724,190,190,12,228,842,0,1
D:\dev\Exedron\ASFuelControl.Windows\NewBox69\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\OldCode,18,5327,4034,2630,585,691,29,602,2522,0,1
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.Box69,7,2071,1561,1008,241,258,12,252,891,0,1
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.Millenium,2,363,289,168,38,55,0,19,127,0,0
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.MilleniumConnector,4,726,530,377,42,115,5,81,693,0,0
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.MilleniumConnector\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\OldCode\ASFuelControl.Millenium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10,178,74280,59208,38451,5167,6105,267,8967,23073,0,11
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.AK6,4,858,547,336,60,116,10,195,786,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.AK6\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.AK6_Dual,3,605,528,296,70,47,0,30,185,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.AK6_Dual\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Ametek,4,476,383,230,41,69,0,24,143,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Ametek\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69,7,2446,1909,1220,319,302,12,235,880,0,1
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69b,2,967,751,441,91,105,10,111,442,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69b\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69b\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Box69b\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.BoxIFSF,2,837,768,398,87,49,0,20,127,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.BoxIFSF\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Data,18,24594,21639,11463,2443,2436,73,519,3416,0,1
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Data\Implementation,6,4934,4242,2644,733,522,72,170,773,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Data\Properties,2,455,246,140,42,53,1,156,859,0,1
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Data\Validators,7,682,478,288,66,111,0,93,277,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.EMR3,3,850,674,404,118,79,11,97,375,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.EMR3\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Elbis,4,1413,841,524,112,168,1,404,1374,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Elbis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Euromat,2,82,53,28,2,12,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Euromat\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Fafnir,4,545,425,260,43,90,3,30,197,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Fafnir\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GVR,5,1183,1115,300,61,51,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GVR\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GVR\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GVR\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Gilbarco,9,3573,2017,1257,294,397,67,1159,4080,0,2
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GilbarcoCn,3,783,627,378,90,90,16,66,355,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GilbarcoCn\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GilbarcoMulti,5,936,732,444,99,92,19,112,935,0,2
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.GilbarcoMulti\Properties,3,128,61,26,4,20,2,47,269,0,2
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Logging,2,255,196,119,20,17,0,42,216,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Millennium,3,1017,775,454,100,126,13,116,756,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.MillenniumMulti,2,1055,822,470,122,122,12,111,534,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.MillenniumMulti\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.MillenniumMulti\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.MillenniumMulti\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Millennium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Millennium\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Millennium\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Millennium\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.NuovoPignone,3,1375,657,375,102,111,9,607,1922,0,2
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.PTS,2,731,576,353,120,104,2,51,264,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Prime,3,1037,472,294,79,138,0,427,1270,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Prime\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan,3,1154,879,611,101,219,1,56,387,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan2,3,1154,879,611,101,219,1,56,387,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan2\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan2\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan2\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Pumalan\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Reports,78,25782,20506,16925,441,868,7,4408,3570,0,3
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Reports\BalanceReports,11,6403,5369,3549,367,512,1,522,495,0,1
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Reports\Invoices,12,5062,4034,3629,12,47,2,981,639,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.Reports\Properties,3,160,87,36,7,23,2,50,282,0,2
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.StartItaliana,4,572,437,260,51,78,0,57,232,0,0
D:\dev\Exedron\ASFuelControl.Windows\ProtocolBackUp_2015_08_10\ASFuelControl.StartItaliana\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Protocols,23,2524,1849,1241,190,367,42,308,1799,0,3
D:\dev\Exedron\ASFuelControl.Windows\Protocols\MILLENIUM DIMOS,7,550,373,258,15,67,2,110,450,0,2
D:\dev\Exedron\ASFuelControl.Windows\Protocols\MILLENIUM DIMOS\MILLENIUM,7,550,373,258,15,67,2,110,450,0,2
D:\dev\Exedron\ASFuelControl.Windows\Protocols\MILLENIUM DIMOS\MILLENIUM\MILLENIUM,7,550,373,258,15,67,2,110,450,0,2
D:\dev\Exedron\ASFuelControl.Windows\Protocols\MILLENIUM DIMOS\MILLENIUM\MILLENIUM\Properties,3,140,73,25,4,20,2,47,269,0,2
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas,16,1974,1476,983,175,300,40,198,1349,0,1
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\Millennium,9,932,618,422,81,170,31,144,1048,0,1
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\Millennium\ConsoleApplication11,9,932,618,422,81,170,31,144,1048,0,1
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\Millennium\ConsoleApplication11\Properties,2,101,48,20,3,14,1,39,239,0,1
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\Millennium\ConsoleApplication11\enums,4,123,84,24,0,24,2,15,194,0,0
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\nuovoPignone,7,1042,858,561,94,130,9,54,301,0,0
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\nuovoPignone\nuovoPignone,7,1042,858,561,94,130,9,54,301,0,0
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\nuovoPignone\nuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Protocols\Nikolas\nuovoPignone\nuovoPignone\enums,2,49,44,12,0,5,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\PtsLib,19,5024,2995,1719,388,593,52,1436,7649,0,2
D:\dev\Exedron\ASFuelControl.Windows\PtsLib\Properties,3,130,63,27,4,20,2,47,251,0,2
D:\dev\Exedron\ASFuelControl.Windows\PureCode,297,82191,65040,38321,7169,9803,376,7348,31321,2,26
D:\dev\Exedron\ASFuelControl.Windows\PureCode1,350,102567,80950,53690,6542,9456,332,12161,36589,2,32
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.AK6,4,751,465,290,48,101,10,185,741,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.AK6\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Ametek,4,443,357,216,38,62,0,24,143,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Ametek\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Box69,7,2424,1917,1225,322,289,11,218,837,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Box69\Properties,2,73,36,12,2,12,1,25,150,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Common,25,1937,1562,918,207,228,2,147,709,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Common\Enumerators,9,272,244,94,9,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Common\Properties,2,299,158,86,25,36,1,105,567,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Common\Sales,3,122,109,76,3,13,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Communication,18,4713,3773,2368,347,635,5,305,1001,0,2
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Communication\Enums,5,130,118,50,7,12,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Communication\Properties,2,299,158,86,25,36,1,105,583,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Communication\Service References,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Communication\Service References\FuelFlowService,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Data,18,19257,16946,8923,1848,1932,53,379,2562,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Data\Implementation,6,2935,2491,1601,431,334,52,110,472,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Data\Properties,2,245,128,68,19,30,1,87,537,0,1
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Data\Validators,7,682,478,288,66,111,0,93,277,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.EMR3,3,780,619,374,100,78,10,83,325,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.EMR3\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Elbis,4,1386,819,512,110,163,1,404,1374,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Elbis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Fafnir,4,474,366,227,36,79,0,29,170,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Fafnir\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.FuelPump,2,880,662,403,122,109,2,109,411,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.FuelPump\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Gilbarco,5,1158,1000,623,162,109,29,49,328,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Logging,2,255,196,119,20,17,0,42,216,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Millenium,8,1425,1000,624,122,192,29,233,1204,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Millenium\Enums,4,125,86,24,0,24,2,15,194,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Millenium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.NuovoPignone,3,624,510,315,78,74,8,40,282,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.PTS,2,731,584,353,121,94,2,53,270,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Reports,56,18053,14368,11503,402,642,3,3043,2551,0,3
D:\dev\Exedron\ASFuelControl.Windows\PureCode1\ASFuelControl.Reports\BalanceReports,11,6361,5332,3530,364,507,1,522,495,0,1
