Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.GilbarcoMulti\Properties,3,128,61,26,4,20,2,47,269,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Logging,2,255,196,119,20,17,0,42,216,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium,3,1017,775,454,100,126,13,116,756,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.MillenniumMulti,2,1019,841,471,122,120,11,58,385,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.MillenniumMulti\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Millennium\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignone,3,1331,644,387,86,110,6,577,1835,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneCL,3,781,645,373,84,96,0,40,204,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneCL\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneV1,3,935,624,382,85,267,7,44,270,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneV1\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.PTS,2,731,576,353,120,104,2,51,264,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Prime,3,677,528,296,61,102,0,47,349,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Prime\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan,3,1154,879,611,101,219,1,56,387,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2,3,1154,879,611,101,219,1,56,387,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports,78,26381,21006,17361,442,889,7,4486,3596,0,3
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\BalanceReports,11,6403,5369,3549,367,512,1,522,495,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\Invoices,12,5289,4222,3792,12,47,2,1020,652,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\Properties,3,160,87,36,7,23,2,50,282,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Schwelm,3,907,730,441,122,101,15,76,407,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Schwelm\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.StartItaliana,4,578,443,262,51,78,0,57,232,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.StartItaliana\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Tank,3,909,526,326,104,116,1,267,995,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Tank\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Teosis,2,139,93,48,3,18,1,28,155,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Teosis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Teosis\obj,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Teosis\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.UniversalPump,5,1265,803,360,74,202,0,260,757,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.UniversalPump\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.VeederRootTLS,6,654,543,319,44,94,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.VeederRootTLS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.VeederRootTLS\Protocol,1,42,34,23,4,8,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.VirtualDevices,9,1322,1048,629,109,144,1,130,551,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.VirtualDevices\Properties,2,209,108,56,15,26,1,75,420,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDL,3,580,458,278,66,87,1,35,190,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDL\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDart,3,995,739,456,106,202,8,54,405,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDartV1,3,1177,889,518,145,185,1,103,596,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDartV1\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDartV2,3,1172,865,531,162,196,1,111,640,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDartV2\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneDart\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneSU,3,720,575,360,75,72,1,73,476,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.WayneSU\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows,194,52469,40072,29589,1961,3617,42,8780,20721,0,3
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\DBScripts,29,2812,2521,0,0,180,0,111,999,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\Properties,3,2025,997,611,169,185,2,843,3606,0,2
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\Service References,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\Service References\SmsService,1,1338,1114,573,139,216,1,8,30,0,1
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\Threads,11,8006,5721,3708,694,865,23,1420,5695,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI,143,35956,27982,23547,812,1987,15,5987,9232,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI\Catalogs,10,4019,2752,2363,67,307,3,960,1977,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Windows\UI\Controls,29,4201,3241,2489,138,369,7,591,1170,0,0
