File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\LcdUpDown.Designer.cs,91,61,49,1,7,0,23,58,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleControl.cs,93,87,57,5,6,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleControl.Designer.cs,124,88,76,1,7,0,29,60,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleFlowControl.cs,50,45,27,2,5,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleFlowControl.Designer.cs,83,56,44,1,7,0,20,57,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleInfoControl.cs,40,37,27,1,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\NozzleInfoControl.Designer.cs,157,112,100,1,7,0,38,63,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\PanelExt.cs,22,19,13,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\PriceControl.cs,162,140,91,17,22,1,0,7,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\PriceControl.Designer.cs,249,186,171,1,10,0,53,68,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankControl.cs,345,296,187,26,41,3,8,45,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankControl.Designer.cs,359,278,257,1,7,0,74,75,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankControlSmall.cs,33,29,19,0,4,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankControlSmall.Designer.cs,90,60,48,1,7,0,23,58,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankDataControl.cs,57,50,34,0,7,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankDataControl.Designer.cs,46,26,14,1,6,0,14,55,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankGauge.cs,186,140,113,4,44,1,2,26,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankGauge.Designer.cs,48,27,15,1,7,0,14,55,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankLinearGauge.cs,133,110,77,5,23,1,0,2,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\TankLinearGauge.Designer.cs,63,39,27,1,7,0,17,56,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\WaitingClock.cs,67,59,40,4,8,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Controls\WaitingClock.Designer.cs,77,50,38,1,7,0,20,57,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\AboutForm.cs,51,42,32,0,9,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\AboutForm.Designer.cs,437,339,322,1,6,0,92,80,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\AlertsForm.cs,162,147,102,11,15,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\AlertsForm.Designer.cs,283,227,205,1,6,0,50,66,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\CashForm.cs,430,377,259,35,48,0,5,12,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\CashForm.Designer.cs,497,408,382,1,6,0,83,77,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\CreateInvoiceForm.cs,456,403,266,46,53,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\CreateInvoiceForm.Designer.cs,611,489,453,1,6,0,116,88,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DeliveryForm.cs,290,254,145,39,34,0,2,6,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Windows\UI\Forms\DeliveryForm.Designer.cs,870,688,663,1,6,0,176,105,0,0
